id;matricule_etab;region;departement;autre_region;autre_dep;nom_etab;code_ia;autre_code_ia;autre_nome_etab;type_etab;annee_creation;statut;email_etab;type_insp
1;support purple neural;THIES;Mbacke;a user;redundant Corse portal;CFP_SEBIKHOTANE;C03;Basse-Normandie c a;withdrawal relationships;CFP;2023-03-19;Prive;Manager;IEF
2;Libye definition;MATAM;Kolda;even-keeled IB;IB;CFP_SINDIAN;C15;Rustic;payment;LyceeTechnique;2023-03-19;Mixte;Singapour Computers;IEF
3;calculating;THIES;Salemata;b;sexy Nord-Pas-de-Calais policy;CFP_DIOURBEL;C08;intermediate c deposit;de;CFP;2023-03-19;Mixte;optical Berkshire;IEF
4;Gloves Beauty;KEDOUGOU;Rufisque;recontextualize;extensible;ALBADAR;C07;matrix FTP Pants;bandwidth;LyceeTechnique;2023-03-19;Public;b asymmetric Music;IEF
5;Consultant Metal;THIES;Bignona;Centre uniform Steel;Optional;CFP_SAINT_LOUIS;Autres;Plastic Savings programming;compress;LyceeTechnique;2023-03-19;Prive;withdrawal b Brunei;IA
6;visualize compressing content;SEDHIOU;Salemata;Cotton payment b;Fantastic Grocery AGP;CFP_BAKEL2;C13;Pants synergistic;enhance Concrete orchid;LyceeTechnique;2023-03-19;Prive;Australie indigo;IA
7;Refined Books;KEDOUGOU;Foundiougne;ivory Auto;payment COM;CFP_THIAROYE;C01;transmit Architecte haptic;convergence bypassing;CFP;2023-03-19;Mixte;Auto web-enabled Re-engineered;IA
8;USB Account synthesize;LOUGA;Bounkiling;Fantastic application Credit;Monitored;CFP_OUAKAM;C13;SMS innovative;scalable;CFP;2023-03-19;Mixte;Wooden FTP;IEF
9;Buckinghamshire Movies;THIES;Guediawaye;card Fish Profound;Basse-Normandie ubiquitous fresh-thinking;CFP_THIADIAYE;C06;Bedfordshire flexibility Cambridgeshire;Generic Royale;LyceeTechnique;2023-03-19;Mixte;Books ubiquitous virtual;IA
10;Coordinateur;KEDOUGOU;Mbour;transmit Berkshire;Tasty Realigned Indian;CFP_NIORO;C08;Peso synergize;Borders Pants Azerbaïdjan;CFP;2023-03-19;Prive;Shirt AGP global;IA
