id;matricule_matiere;nom_matiere;reference;image;image_content_type;region;autre_region;departement;autre_dep;code_ia;autre_code_ia;type_structure;autre_structure;annee_affectation
1;Checking mobile;markets Tonga Bacon;Guinée;../fake-data/blob/hipster.png;image/png;LOUGA;Metical;Pikine;withdrawal;C17;Gloves state;DECPC;Laffitte card Lesotho;90568
2;Avon Balanced repurpose;c input;Centre;../fake-data/blob/hipster.png;image/png;FATICK;intangible Balboa;Tambacounda;solid model Corse;C01;vortals;SNOP;Dollar;11766
3;Bretagne;de Tonga open-source;copying Delesseux bypassing;../fake-data/blob/hipster.png;image/png;KOLDA;indigo radical;Mbour;Stagiaire Books mobile;C11;Kids programming quantify;CS;Borders relationships;29464
4;b;Shoes hack Fully-configurable;c;../fake-data/blob/hipster.png;image/png;KEDOUGOU;Market;Medina_Yoro_Foulah;auxiliary;C13;Metal;CJ;proactive Home port;58946
5;Ngultrum Oberkampf Royale;Incredible d'Azur;quantifying;../fake-data/blob/hipster.png;image/png;KEDOUGOU;FTP;Bakel;b;C12;Loan synthesize;DA;neural;14035
6;world-class maroon relationships;Implemented Hryvnia;Wooden Bedfordshire;../fake-data/blob/hipster.png;image/png;TAMBACOUNDA;République bluetooth Rubber;Mbour;Buckinghamshire;C05;expedite a visionary;BAD;world-class solutions Australian;39517
7;connect c;Ghana Bacon;mindshare Hat;../fake-data/blob/hipster.png;image/png;AUTRE;withdrawal North bleeding-edge;Saint_Louis;connect;C04;open-source;CJ;index Gourde back-end;54281
8;b flexibility orchid;des;moratorium digital;../fake-data/blob/hipster.png;image/png;KEDOUGOU;withdrawal invoice;Kaffrine;grey users bypass;C13;reciprocal a;BC;reboot communities;45829
9;Languedoc-Roussillon;Dominique;Berkshire Virtual;../fake-data/blob/hipster.png;image/png;DAKAR;Business-focused invoice Pizza;Bambey;Cambridgeshire multi-tasking;C12;index Bedfordshire;CNID;Agent;92200
10;de;payment a a;Exclusive Brunei;../fake-data/blob/hipster.png;image/png;MATAM;silver;Diourbel;scalable Outdoors;C09;Steel copy;CG;dot-com;12551
